Nf,Win,Bin,Din,Wout,Bout
0,0.1,0.1,0.0,"[0.38468418484109546, 0.33144953717838666, 0.28630337674294376, 0.3337156360095213, 0.35319920194428533, 0.3102392672869075, 0.3687227305679789, 0.38967191809997026, 0.39999245974659436, 0.348248881834304]","[0.1757278915515604, 0.11551833927333503, 0.09428067519784487, 0.14940287024235913, 0.1763079422150103, 0.0951657104169977, 0.1352123755383071, 0.15426509593665294, 0.20624332467872591, 0.12908085863058838]"
0,0.1,0.3,0.0,"[0.37592999128043336, 0.39717072273002196, 0.26275719224679595, 0.3935482531653407, 0.3477877276586985, 0.37812871628097816, 0.3507846502056523, 0.3579165908171188, 0.34767555138427564, 0.31758438463844796]","[0.1533983330266054, 0.26225938546957844, 0.12614059644556228, 0.24771359042223748, 0.12720742512502867, 0.26972070221750616, 0.16894350805623826, 0.11983569253977988, 0.16417790331216975, 0.15732415940884473]"
0,0.1,0.5,0.0,"[0.32148032446103403, 0.3559305645713762, 0.35729471453035483, 0.3991230404193975, 0.38945296076592895, 0.4372630270177029, 0.4269150562268312, 0.4655792476292141, 0.45261756738538006, 0.46594859160992896]","[0.22630793084046213, 0.2051414187219895, 0.2529167665093021, 0.3190158130157798, 0.18890363893282813, 0.275170130171793, 0.3113771232216977, 0.35643938822449506, 0.3174336584641429, 0.32977321375669855]"
0,0.1,0.7,0.0,"[0.3419032059336288, 0.37136326927993424, 0.4304866530101144, 0.3553774305203947, 0.3784708336969943, 0.47647686086670415, 0.3677861547214528, 0.35524071432195825, 0.34197637371256556, 0.40066784940544786]","[0.27378383133714573, 0.3295786439938278, 0.3669804416279297, 0.2846783406688437, 0.3243459882694759, 0.4191093320045088, 0.32581296319446895, 0.26317592944116824, 0.2947006853745632, 0.3706915078335702]"
0,0.1,0.9,0.0,"[0.3296711223882641, 0.37999900712784007, 0.34339958253211955, 0.3667966269255135, 0.3239336241852828, 0.4942356031791181, 0.3530761486280477, 0.39511551866664096, 0.4272382385725524, 0.337867159892288]","[0.3231986701267644, 0.32073093906628386, 0.3373670600847933, 0.31171696682256045, 0.30605290763067383, 0.4623318790736383, 0.34459945171751427, 0.36310405877193264, 0.4059560107249419, 0.32743484919793914]"
0,0.15,0.1,0.0,"[0.4288724620492877, 0.46590556150548434, 0.4854642680083179, 0.4754945767639175, 0.47419737049250166, 0.4947425623537398, 0.4305204331853675, 0.43446496468840523, 0.5062221029104421, 0.4529832251557828]","[0.14279216090085983, 0.1701940030877718, 0.21018474977760762, 0.20920514071428958, 0.19593219614721377, 0.2357999633346611, 0.21567723140600856, 0.16121753919177598, 0.1305377118818041, 0.12010773128557753]"
0,0.15,0.3,0.0,"[0.41829186878415026, 0.5103227326927244, 0.4702521936698051, 0.4790238776998333, 0.4685603075379735, 0.4375751387380227, 0.3613740816484835, 0.4771931192297807, 0.4982063609359784, 0.46803186660123697]","[0.22082160226154163, 0.2567233203881351, 0.290312610604584, 0.2933718206800279, 0.2634014116412115, 0.18304915283083467, 0.18521870502939192, 0.32622432813909774, 0.2905859782170073, 0.3022777517778852]"
0,0.15,0.5,0.0,"[0.3894066384548564, 0.4372925589333715, 0.3942627477077613, 0.397980650791278, 0.4394968203793105, 0.38598197007826796, 0.4014906974517217, 0.48347733164861784, 0.43245066754846234, 0.4790760192653229]","[0.22415933042619202, 0.28320846760153334, 0.2692126733009519, 0.22637980439664368, 0.27486280238054406, 0.206128453417058, 0.2339250925737157, 0.3203194427529356, 0.2331343152860957, 0.2696477707442077]"
0,0.15,0.7,0.0,"[0.41557856114185576, 0.5759951913349199, 0.5219305300774594, 0.4798453057880161, 0.641048217345503, 0.47341128848418557, 0.5487069011842329, 0.576172128256039, 0.4723581081427889, 0.4545478382938828]","[0.2964949344097236, 0.4640038780050973, 0.3794634787519402, 0.3614567164495027, 0.5694639302607667, 0.3512879004619945, 0.43196123974799105, 0.4518615690588866, 0.41357330393956976, 0.3686398619384568]"
0,0.15,0.9,0.0,"[0.4385506730461868, 0.4623142699337692, 0.4494510220736254, 0.4748165303622964, 0.5083029585183749, 0.4832756844909746, 0.5274100485962311, 0.4570639724460436, 0.48216932448735667, 0.4965570837872912]","[0.4141946261253236, 0.44202997484852535, 0.39067073037823286, 0.46653719733097515, 0.4939562992748101, 0.42073337382119813, 0.48910649695687275, 0.42130200352607217, 0.44466900762125405, 0.4754151373722014]"
0,0.2,0.1,0.0,"[0.5539875639936693, 0.48624040546803937, 0.5599260204277567, 0.5083049378703031, 0.5389251762409404, 0.5328725597241407, 0.5232881065994509, 0.49334409873992324, 0.549937235135709, 0.47586825447864367]","[0.2745552481237957, 0.10603185704313722, 0.24511993928624126, 0.2542141878346099, 0.23902082445545725, 0.16819110831974293, 0.15597020749432383, 0.18369786672800908, 0.21301610948859792, 0.21048183873705933]"
0,0.2,0.3,0.0,"[0.5716328049289301, 0.5872956947726299, 0.5513321148080781, 0.5494398093400261, 0.5019593370854236, 0.5532790014806959, 0.5923972285203243, 0.4564223867732621, 0.5484364126365135, 0.49824599312878737]","[0.3200821055021559, 0.38830239024101776, 0.2671211433270938, 0.3795628989935881, 0.2541026867208316, 0.3182196784473712, 0.3891951712249648, 0.1823433716020374, 0.20158713865044176, 0.29881401790841666]"
0,0.2,0.5,0.0,"[0.5449929393960062, 0.5258969445693964, 0.5735843713593474, 0.5511125102292962, 0.5017521962054645, 0.5645731727534293, 0.5040637169300735, 0.5574980869102777, 0.5863203906501201, 0.531457201829119]","[0.44232623590703757, 0.36535643942270596, 0.3687363782142737, 0.3144633007545322, 0.2979159934512264, 0.29512760265483845, 0.3162421215745087, 0.34866578568970624, 0.3088486351467951, 0.36115370884196707]"
